file,nEvents,run_min,run_max,nMuon_mean,nMuon_p95,mu_pt_mean,mu_pt_p95,MET_mean
doublemuon2016g_0.root,50000,278822,278822,2.0086,3.0,24.045078661754456,52.09223175048828,26.45755
doublemuon2016g_1.root,50000,278820,278820,2.11182,4.0,30.33606794139652,53.391090393066406,31.65916
doublemuon2016g_2.root,50000,278822,278822,2.01102,3.0,23.845165637338265,51.552276611328125,26.58695
doublemuon2016g_3.root,50000,278820,278820,2.1512,4.0,30.724256229081444,53.86223220825195,32.89099
doublemuon2016g_4.root,50000,278820,278822,2.10698,4.0,32.953347919771424,52.893798828125,31.6026225
