label,level,fold,roc_auc,ap,brier,pos_rate,n
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,event,OOF,0.8540126740556454,0.8211388666372809,0.15605516756266327,0.49897988974272733,1171442
HLT_Mu17_Mu8,event,OOF,0.6419994305842981,0.0408024238203817,0.2353454768263043,0.024772033101083963,1171442
HLT_Mu17_Mu8_DZ,event,OOF,0.6559716504258,0.036737340240754576,0.23320640122485473,0.021538411632842258,1171442
